sketch_uploaded;consent;map_frame_created;map_frame_uuid;bbox;centroid;format;orientation;orientation_det
2024-08-02 10:25:44.840 +0200;true;2024-08-02 10:24:42.744;9175ff47-a160-42ef-bc7d-fde56c9f96ee;POLYGON((8.66507833549067 49.40325619025393,8.689535073522748 49.40325619025393,8.689535073522748 49.41657525127292,8.66507833549067 49.41657525127292,8.66507833549067 49.40325619025393));POINT(8.677306704506707 49.40991617246681);a4;landscape;landscape
2024-08-02 20:38:35.308 +0200;false;2024-08-02 20:35:13.777;dc1fafd5-fc7c-49d1-9f9b-bb79bda70bc8;POLYGON((72.90250070061853 19.123585064406768,72.92270654400559 19.123585064406768,72.92270654400559 19.139563500971704,72.90250070061853 19.139563500971704,72.90250070061853 19.123585064406768));POINT(72.91260362231206 19.13157447591192);a4;landscape;landscape
2024-08-03 14:32:25.969 +0200;false;2024-08-03 14:27:59.860;1aeb1378-a1a1-44cc-bd00-b4f55f3b6cf9;POLYGON((48.51226406028092 34.783548926072356,48.51669263994329 34.783548926072356,48.51669263994329 34.786593293645566,48.51226406028092 34.786593293645566,48.51226406028092 34.783548926072356));POINT(48.5144783501121 34.78507112390443);a4;landscape;landscape
2024-08-05 01:25:25.319 +0200;false;2024-08-05 01:07:22.217;18db105b-415d-4e53-b91c-6167a2d95b07;POLYGON((8.560564685603145 12.032540434684236,8.563168272366651 12.032540434684236,8.563168272366651 12.034677824869021,8.560564685603145 12.034677824869021,8.560564685603145 12.032540434684236));POINT(8.561866478984896 12.033609131901244);a3;landscape;landscape
2024-08-06 08:59:09.397 +0200;false;2024-08-06 08:54:20.912;25c2a095-1864-44d0-8bb2-b27d9514c2f0;POLYGON((138.46566886507884 -34.852935665019125,138.55141273783377 -34.852935665019125,138.55141273783377 -34.79401928879516,138.46566886507884 -34.79401928879516,138.46566886507884 -34.852935665019125));POINT(138.5085408014563 -34.82348274478001);a4;landscape;landscape
2024-08-06 09:54:07.489 +0200;false;2024-08-06 09:45:48.677;79ab81a8-8813-44db-b298-9000b1873e49;POLYGON((138.4896453482055 -34.85174912596621,138.52889533741597 -34.85174912596621,138.52889533741597 -34.813366831554646,138.4896453482055 -34.813366831554646,138.4896453482055 -34.85174912596621));POINT(138.50927034281074 -34.832560215275734);a3;portrait;portrait
2024-08-06 09:59:19.485 +0200;false;2024-08-06 09:45:48.677;79ab81a8-8813-44db-b298-9000b1873e49;POLYGON((138.4896453482055 -34.85174912596621,138.52889533741597 -34.85174912596621,138.52889533741597 -34.813366831554646,138.4896453482055 -34.813366831554646,138.4896453482055 -34.85174912596621));POINT(138.50927034281074 -34.832560215275734);a3;portrait;portrait
2024-08-06 12:38:10.133 +0200;false;2024-08-06 12:32:09.147;2e98bf2a-4c22-46ab-b55b-63bb822300b1;POLYGON((25.644232201188128 38.50088083015007,26.763150106804346 38.50088083015007,26.763150106804346 39.232142886195106,25.644232201188128 39.232142886195106,25.644232201188128 38.50088083015007));POINT(26.203691153996242 38.867452107480005);a3;landscape;landscape
2024-08-07 05:00:10.656 +0200;false;2024-08-07 04:57:45.156;4c200454-547c-4b98-a093-733e8303d1db;POLYGON((121.04559575611292 14.552969306330652,121.04772978140876 14.552969306330652,121.04772978140876 14.554698196248935,121.04559575611292 14.554698196248935,121.04559575611292 14.552969306330652));POINT(121.04666276876083 14.553833752982811);a4;landscape;landscape
2024-08-07 14:59:00.912 +0200;false;2024-08-07 14:53:35.427;74735e00-30a7-4b57-93a0-325c983cb0d7;POLYGON((1.553798306873326 41.183950244279714,1.5823875310502489 41.183950244279714,1.5823875310502489 41.2019570489868,1.553798306873326 41.2019570489868,1.553798306873326 41.183950244279714));POINT(1.5680929189617874 41.192954265755276);a4;landscape;landscape
2024-08-07 15:23:15.617 +0200;true;2024-08-07 15:11:52.804;c461842a-ba02-49ac-965b-43c289106782;POLYGON((11.61674944208138 54.79353592938065,11.641409237672125 54.79353592938065,11.641409237672125 54.80517596211027,11.61674944208138 54.80517596211027,11.61674944208138 54.79353592938065));POINT(11.629079339876752 54.79935636476682);a1;landscape;landscape
